year,crime_rate,State
1967.0000000000002,621.0,Maine
1967.0000000000002,17458.0,Maryland
1967.0000000000002,6919.000000000001,Massachusetts
1967.0000000000002,33390.0,Michigan
1967.0000000000002,4727.0,Minnesota
1967.0000000000002,2672.0,Mississippi
1967.0000000000002,12746.0,Missouri
1967.0000000000002,588.0,Montana
1967.0000000000002,1624.0,Nebraska
1967.0000000000002,1100.0,Nevada
1967.0000000000002,218.0,New Hampshire
1967.0000000000002,13204.0,New Jersey
1967.0000000000002,2325.0,New Mexico
1967.0000000000002,75124.0,New York
1967.0000000000002,15995.0,North Carolina
1967.0000000000002,184.99999999999997,North Dakota
1967.0000000000002,19344.0,Ohio
1967.0000000000002,3703.0,Oklahoma
1967.0000000000002,3146.9999999999995,Oregon
1967.0000000000002,16119.0,Pennsylvania
1967.0000000000002,1156.0,Rhode Island
1967.0000000000002,6015.0,South Carolina
1967.0000000000002,586.0,South Dakota
1967.0000000000002,8111.0,Tennessee
1967.0000000000002,26749.0,Texas
1967.0000000000002,1194.0,Utah
1967.0000000000002,86.0,Vermont
1967.0000000000002,10328.0,Virginia
1967.0000000000002,4754.0,Washington
1967.0000000000002,1744.0,West Virginia
1967.0000000000002,2948.0,Wisconsin
1967.0000000000002,294.0,Wyoming
1968.0,8288.0,Alabama
1968.0,485.99999999999994,Alaska
1968.0,4402.0,Arizona
1968.0,4360.0,Arkansas
1968.0,81293.0,California
1968.0,5387.0,Colorado
1968.0,3825.0,Connecticut
1968.0,1288.0,Delaware
1968.0,12180.0,District of Columbia
1968.0,27913.0,Florida
1968.0,9903.0,Georgia
1968.0,662.0,Hawaii
1968.0,518.0,Idaho
1968.0,44776.0,Illinois
1968.0,10229.0,Indiana
1968.0,1882.0000000000002,Iowa
1968.0,3463.0,Kansas
1968.0,5317.0,Kentucky
1968.0,11742.0,Louisiana
1968.0,633.0,Maine
1968.0,23404.999999999996,Maryland
1968.0,8916.0,Massachusetts
1968.0,37292.0,Michigan
1968.0,5111.0,Minnesota
1968.0,3397.0,Mississippi
1968.0,15216.0,Missouri
1968.0,610.0,Montana
1968.0,2103.0,Nebraska
1968.0,1261.0,Nevada
1968.0,279.0,New Hampshire
1968.0,16711.0,New Jersey
1968.0,2543.0,New Mexico
1968.0,98515.0,New York
1968.0,18025.0,North Carolina
1968.0,173.0,North Dakota
1968.0,21228.0,Ohio
1968.0,4473.0,Oklahoma
1968.0,3955.0,Oregon
1968.0,20710.0,Pennsylvania
1968.0,1254.0,Rhode Island
1968.0,5853.0,South Carolina
1968.0,563.0,South Dakota
1968.0,8766.0,Tennessee
1968.0,29646.0,Texas
1968.0,1201.0,Utah
1968.0,157.0,Vermont
1968.0,12821.0,Virginia
1968.0,6970.0,Washington
1968.0,1959.0,West Virginia
1968.0,3400.0,Wisconsin
1968.0,278.0,Wyoming
1969.0000000000002,8842.0,Alabama
1969.0000000000002,624.0,Alaska
1969.0000000000002,5741.999999999999,Arizona
1969.0000000000002,4390.0,Arkansas
1969.0000000000002,89878.0,California
1969.0000000000002,6275.0,Colorado
1969.0000000000002,4415.0,Connecticut
1969.0000000000002,1588.0,Delaware
1969.0000000000002,17038.0,District of Columbia
1969.0000000000002,29411.0,Florida
1969.0000000000002,11235.0,Georgia
1969.0000000000002,683.9999999999999,Hawaii
1969.0000000000002,806.0000000000001,Idaho
1969.0000000000002,49542.99999999999,Illinois
1969.0000000000002,10141.0,Indiana
1969.0000000000002,1918.0000000000002,Iowa
1969.0000000000002,3873.0,Kansas
1969.0000000000002,5745.0,Kentucky
1969.0000000000002,13492.0,Louisiana
1969.0000000000002,733.0,Maine
1969.0000000000002,24295.0,Maryland
1969.0000000000002,10272.0,Massachusetts
1969.0000000000002,44048.00000000001,Michigan
1969.0000000000002,5253.0,Minnesota
1969.0000000000002,3354.0,Mississippi
1969.0000000000002,18260.0,Missouri
1969.0000000000002,682.0,Montana
1969.0000000000002,2302.0,Nebraska
1969.0000000000002,1642.0,Nevada
1969.0000000000002,325.0,New Hampshire
1969.0000000000002,17226.0,New Jersey
1969.0000000000002,2881.0,New Mexico
1969.0000000000002,105870.0,New York
1969.0000000000002,18117.0,North Carolina
1969.0000000000002,220.00000000000003,North Dakota
1969.0000000000002,26648.0,Ohio
1969.0000000000002,4775.0,Oklahoma
1969.0000000000002,4527.0,Oregon
1969.0000000000002,22887.0,Pennsylvania
1969.0000000000002,1594.0,Rhode Island
1969.0000000000002,6448.999999999999,South Carolina
1969.0000000000002,510.00000000000006,South Dakota
1969.0000000000002,9235.0,Tennessee
1969.0000000000002,36707.0,Texas
1969.0000000000002,1459.9999999999998,Utah
1969.0000000000002,234.00000000000003,Vermont
1969.0000000000002,12433.0,Virginia
1969.0000000000002,8243.0,Washington
1969.0000000000002,1766.0,West Virginia
1969.0000000000002,3410.9999999999995,Wisconsin
1969.0000000000002,286.0,Wyoming
1970.0,10185.0,Alabama
1970.0,840.0,Alaska
1970.0,6563.999999999999,Arizona
1970.0,4276.0,Arkansas
1970.0,94741.00000000001,California
1970.0,7874.0,Colorado
1970.0,5167.0,Connecticut
1970.0,1795.0,Delaware
1970.0,16846.0,District of Columbia
1970.0,33824.0,Florida
1970.0,13976.000000000002,Georgia
1970.0,938.0,Hawaii
1970.0,879.0,Idaho
1970.0,52005.99999999999,Illinois
1970.0,12184.000000000002,Indiana
1970.0,2241.0,Iowa
1970.0,4561.0,Kansas
1970.0,7157.0,Kentucky
1970.0,15063.0,Louisiana
1970.0,887.0,Maine
1970.0,24512.0,Maryland
1970.0,11541.999999999998,Massachusetts
1970.0,51090.0,Michigan
1970.0,5782.000000000001,Minnesota
1970.0,3973.9999999999995,Mississippi
1970.0,18986.0,Missouri
1970.0,774.0,Montana
1970.0,2731.0,Nebraska
1970.0,1948.0,Nevada
1970.0,413.0,New Hampshire
1970.0,20583.0,New Jersey
1970.0,3093.0,New Mexico
1970.0,124613.00000000001,New York
1970.0,18814.0,North Carolina
1970.0,211.0,North Dakota
